id,latitude,longitude,property_type,room_type,bedrooms,availability_90,review_scores_rating,suburb,price,has_kitchen,has_Wifi,has_ACHeat,has_parking,has_selfcheckin,is_shared,num_baths,availability_30,availability days in 60 days,accommodates,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,has_washer
10803,-37.76606,144.97951,Private room in rental unit,Private room,,49,4.49,Brunswick East,44,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,6,19,2,3.98,4.72,4.69,4.65,4.6,FALSE
12936,-37.85999,144.97662,Entire rental unit,Entire home/apt,1,0,4.68,St Kilda,95,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,2,4.71,4.83,4.83,4.78,4.66,TRUE
41836,-37.69729,145.00082,Private room in home,Private room,,0,4.71,Reservoir,40,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,2,4.65,4.89,4.83,4.39,4.69,TRUE
43429,-37.8996,145.11447,Entire rental unit,Entire home/apt,1,51,4.87,Oakleigh East,118,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,21,48,2,4.93,4.94,4.93,4.79,4.86,FALSE
38271,-38.05725,145.33936,Entire rental unit,Entire home/apt,3,66,4.86,Berwick,117,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,24,41,5,4.98,4.91,4.93,4.9,4.87,FALSE
44699,-37.83155713,144.9706443,Other,Private room,,90,4.74,Melbourne,88,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,30,60,2,4.86,4.95,4.95,4.82,4.71,FALSE
66754,-37.82127,144.99408,Entire rental unit,Entire home/apt,1,0,4.61,Richmond,94,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,2,4.67,4.84,4.94,4.8,4.53,TRUE
67211,-37.80347,145.03583,Private room in rental unit,Private room,,36,4.82,Kew,50,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,8,12,1,4.93,4.91,4.92,4.78,4.86,TRUE
51592,-37.81266,144.96313,Other,Entire home/apt,1,66,4.92,Melbourne,305,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,19,41,4,4.75,4.91,4.92,4.99,4.79,FALSE
69421,-37.78975,145.00469,Entire rental unit,Entire home/apt,1,15,5,Clifton Hill,180,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,1,4,5,5,5,5,5,FALSE
690762,-37.97413,145.21955,Private room in home,Private room,,0,1,Dandenong,80,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3,0,0,1,2,3,2,4,1,FALSE
74324,-37.80415,144.97803,Other,Entire home/apt,2,86,4.81,Fitzroy,299,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,29,59,4,4.84,4.93,4.97,4.91,4.68,FALSE
692694,-37.8568,145.00065,Entire rental unit,Entire home/apt,1,0,4.48,Windsor,190,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,2,4.38,4.8,4.85,4.58,4.47,TRUE
78143,-37.85162,144.98943,Other,Private room,,79,4.78,Prahran,96,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,25,51,2,4.91,4.87,4.89,4.92,4.8,FALSE
80986,-37.81541,145.00157,Entire rental unit,Entire home/apt,1,0,4.43,Richmond,84,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,2,4.56,4.8,4.91,4.78,4.45,TRUE
712261,-37.86928,144.99792,Entire rental unit,Entire home/apt,1,0,4.8,Balaclava,95,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,2,4.14,4.86,4.81,4.9,4.62,TRUE
86369,-37.87142,145.00785,Entire rental unit,Entire home/apt,1,82,5,Caulfield North,235,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,22,52,2,5,5,5,4.93,4.93,FALSE
739896,-37.77056,144.97274,Entire rental unit,Entire home/apt,2,0,4.5,Brunswick East,300,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,0,0,4,4.67,4.67,4.67,4,5,TRUE
103952,-37.83095169,144.9691315,Entire rental unit,Entire home/apt,1,90,4.91,South Melbourne,200,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,30,60,2,5,5,5,5,4.91,FALSE
754134,-37.8167,144.96608,Entire rental unit,Entire home/apt,1,89,4.63,Melbourne,167,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,29,59,4,4.78,4.84,4.93,4.94,4.64,FALSE
108032,-37.81595,144.96606,Entire rental unit,Entire home/apt,1,46,4.9,Melbourne,175,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,11,20,2,4.71,4.92,4.89,4.95,4.85,TRUE
762695,-37.81552,145.00116,Entire rental unit,Entire home/apt,1,0,4.65,Richmond,99,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,2,4.72,4.83,4.83,4.84,4.61,TRUE
120487,-37.99031,145.07744,Other,Entire home/apt,1,5,4.84,Parkdale,125,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,4,5,2,4.91,4.97,4.95,4.86,4.82,FALSE
133617,-37.84298,144.94148,Other,Private room,,89,4.81,Port Melbourne,113,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,29,59,2,4.72,4.97,4.91,4.81,4.81,TRUE
768096,-37.83368,144.9843,Entire rental unit,Entire home/apt,2,0,4.8,South Yarra,135,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2,0,0,4,4.78,4.99,4.89,4.78,4.67,TRUE
780196,-37.87135,144.81258,Private room in home,Private room,,90,4.93,Altona,48,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,30,60,2,4.92,4.95,4.94,4.81,4.94,TRUE
157427,-37.90605,145.35069,Other,Entire home/apt,1,55,4.91,Belgrave,160,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1,10,26,2,4.93,4.98,4.95,4.96,4.68,TRUE
780441,-37.8068,144.96943,Entire rental unit,Entire home/apt,1,44,4.62,Carlton,90,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,5,31,1,4.84,4.93,4.9,4.91,4.57,FALSE
161033,-37.63282,145.49766,Other,Entire home/apt,1,80,4.79,Chum Creek,110,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,24,54,2,4.84,4.91,4.89,4.85,4.84,FALSE
163077,-37.8786,144.9913,Entire rental unit,Entire home/apt,1,0,4.68,Elwood,89,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,2,4.59,4.84,4.86,4.86,4.64,TRUE
784043,-37.73071,145.08995,Entire home,Entire home/apt,4,0,5,Viewbank,500,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,0,0,6,5,5,5,5,5,TRUE
785116,-38.02886,145.10602,Private room in home,Private room,,90,,Aspendale,150,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,30,60,2,,,,,,TRUE
173426,-37.76434,144.98624,Private room in home,Private room,,0,4.95,Northcote,71,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,1,5,4.95,5,4.91,4.91,FALSE
189293,-37.69879,145.00193,Private room in home,Private room,,0,5,Reservoir,35,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,2,5,5,5,5,5,TRUE
792570,-37.80886,144.98457,Entire rental unit,Entire home/apt,2,0,4.5,Collingwood,150,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,4,3.83,4.5,4.67,4.83,4.67,TRUE
210568,-37.86717,145.02877,Private room in home,Private room,,0,4.78,Caulfield North,67,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,2,4.38,4.92,4.92,4.92,4.83,TRUE
806245,-37.80257,144.89593,Other,Entire home/apt,2,66,4.83,Footscray,165,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,16,41,5,4.81,4.96,4.95,4.85,4.8,TRUE
214565,-37.7137,145.1238,Private room in home,Private room,,0,,Montmorency,40,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,2,,,,,,TRUE
817054,-37.83649,144.99393,Entire rental unit,Entire home/apt,2,0,4.37,South Yarra,133,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,5,4.15,4.73,4.64,4.82,4.33,TRUE
835730,-37.75581,144.96868,Other,Entire home/apt,2,11,4.78,Coburg,130,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,3,5,4,4.56,4.91,4.91,4.67,4.75,TRUE
229430,-37.8317,145.04922,Private room in home,Private room,,0,4.86,Hawthorn East,49,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,1,4.91,4.95,4.91,4.86,5,TRUE
230790,-37.90514,145.35261,Other,Entire home/apt,5,75,4.81,Belgrave,564,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,6,20,50,10,4.8,4.93,4.92,4.93,4.78,FALSE
844381,-37.86645,144.982,Entire rental unit,Entire home/apt,1,15,4.71,St Kilda,100,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,15,15,2,4.41,4.68,4.77,4.82,4.5,TRUE
232812,-37.78398,144.9574,Entire condo,Entire home/apt,2,0,4.17,Parkville,190,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,2,0,0,2,4.71,4.43,4.43,4.29,4.14,TRUE
235701,-37.84350204,144.9759827,Entire rental unit,Entire home/apt,1,47,4.86,Melbourne,89,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,22,47,2,4.79,5,4.95,4.88,4.84,FALSE
847063,-37.783672,145.024658,Entire home,Entire home/apt,3,83,4.7,Alphington,493,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,23,53,5,4.6,5,5,4.4,4.7,FALSE
240410,-37.80455,144.95113,Entire rental unit,Entire home/apt,1,55,4.83,North Melbourne,150,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,17,35,2,4.82,4.93,4.98,4.93,4.79,FALSE
853643,-37.82782,145.00536,Entire home,Entire home/apt,2,0,4.76,Richmond,286,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,4,4.77,4.89,4.91,4.77,4.81,TRUE
244952,-37.80428,144.97916,Entire rental unit,Entire home/apt,1,24,4.7,Fitzroy,112,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,5,11,2,4.77,4.9,4.87,4.93,4.67,TRUE
865195,-37.99031,145.07744,Other,Entire home/apt,1,0,4.8,Parkdale,69,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,1,4.91,4.95,4.99,4.8,4.84,TRUE
247140,-37.81663513,144.9775238,Entire rental unit,Entire home/apt,2,46,4.87,East Melbourne,250,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,2,26,26,4,4.69,4.91,4.87,4.95,4.75,TRUE
867464,-37.80584,144.8983,Other,Entire home/apt,1,16,4.91,Footscray,99,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,16,16,2,4.84,4.96,4.96,4.9,4.92,FALSE
248235,-37.86543,145.01735,Entire home,Entire home/apt,5,15,4.87,Caulfield North,750,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3,13,15,8,4.44,4.69,4.75,4.88,4.75,FALSE
870859,-37.84767,145.15171,Private room in home,Private room,,73,4,Blackburn South,53,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,13,43,2,4,4,4.67,4,4.33,TRUE
251354,-37.85925,145.02346,Entire home,Entire home/apt,1,89,4.9,Armadale,857,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,29,59,2,4.9,5,4.9,4.9,4.5,FALSE
251965,-37.87833,144.98824,Entire home,Entire home/apt,2,0,,Elwood,270,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,0,0,2,,,,,,TRUE
875444,-37.83673,144.96811,Entire rental unit,Entire home/apt,1,79,4.62,South Melbourne,98,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,19,49,2,4.55,4.87,4.83,4.78,4.62,TRUE
256186,-37.80237,144.9835,Entire rental unit,Entire home/apt,2,22,4.72,Fitzroy,112,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,5,12,6,4.79,4.86,4.88,4.88,4.74,TRUE
875913,-37.82123,144.99422,Entire rental unit,Entire home/apt,1,0,4.74,Richmond,89,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,2,4.83,4.99,5,4.92,4.71,TRUE
881242,-37.77562,145.021,Entire home,Entire home/apt,3,13,4.65,Alphington,159,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,5,4.76,5,4.94,4.94,4.65,TRUE
884136,-37.79766039,144.9819129,Entire condo,Entire home/apt,2,37,4.95,Fitzroy,287,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,2,1,17,5,4.95,4.9,4.95,5,4.75,FALSE
263871,-37.8169,144.96057,Entire rental unit,Entire home/apt,1,19,4.92,Melbourne,131,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,19,19,2,4.94,4.96,4.92,4.91,4.76,TRUE
268620,-37.73994,144.73881,Private room in home,Private room,,90,,Caroline Springs,72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,30,60,1,,,,,,FALSE
887320,-37.7199,144.85913,Private room in home,Private room,,63,4.9,Keilor Park,89,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,3,33,6,4.86,4.98,4.98,4.82,4.88,TRUE
268849,-37.83663,144.99344,Entire rental unit,Entire home/apt,1,66,4.86,South Yarra,170,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,15,44,2,4.81,4.83,4.91,4.95,4.8,TRUE
887782,-37.84842,145.1534,Private room in rental unit,Private room,,90,4.71,Burwood East,48,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,30,60,2,4.29,4.71,4.71,4.71,4.57,TRUE
280698,-37.87322,144.98937,Entire rental unit,Entire home/apt,2,0,4.77,Elwood,169,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,4,4.66,4.79,4.9,4.72,4.8,TRUE
890726,-37.86166,144.97457,Entire rental unit,Entire home/apt,1,48,4.83,St Kilda,110,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,6,22,2,4.89,4.92,4.95,4.86,4.73,FALSE
284210,-37.79951,144.97948,Entire rental unit,Entire home/apt,1,0,4.85,Fitzroy,245,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,2,4.67,4.88,4.85,4.97,4.61,FALSE
297350,-37.78374,144.75729,Private room in home,Private room,,47,4.76,Derrimut,47,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,17,10,4.84,4.9,4.91,4.59,4.78,TRUE
892787,-37.8141,144.98554,Entire rental unit,Entire home/apt,1,0,4.66,East Melbourne,115,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,3,4.78,4.82,4.86,4.82,4.53,TRUE
309093,-37.81967,144.99957,Entire rental unit,Entire home/apt,3,0,4.92,Richmond,400,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,0,0,6,4.94,5,5,5,4.88,TRUE
310594,-37.80614,144.99488,Other,Entire home/apt,1,0,4.9,Abbotsford,170,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,2,4.78,4.97,4.97,4.89,4.82,FALSE
313648,-37.81362,144.98665,Entire rental unit,Entire home/apt,1,0,4.7,East Melbourne,125,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,3,4.83,4.97,4.95,4.81,4.72,TRUE
900706,-37.86389,144.77731,Private room in home,Private room,,80,3.5,Altona Meadows,55,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,20,50,2,2.88,4.25,4.38,4,3.75,TRUE
315513,-37.78374,144.75728,Private room in home,Private room,,70,4.82,Derrimut,50,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,10,40,4,4.88,4.92,4.88,4.63,4.8,TRUE
900838,-37.82286,144.99065,Other,Entire home/apt,1,0,4.88,Richmond,232,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,2,4.91,4.93,4.96,4.93,4.81,TRUE
317239,-37.82964,144.87163,Private room in home,Private room,,86,4.83,South Kingsville,95,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,26,56,1,5,5,5,5,4.83,FALSE
905969,-37.80535,144.97934,Entire home,Entire home/apt,2,35,4.92,Fitzroy,235,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,8,11,5,4.82,4.98,4.98,4.86,4.69,TRUE
911079,-37.84777,144.9991,Private room in home,Private room,,0,4.8,South Yarra,110,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,2,4.75,5,5,5,4.9,TRUE
323280,-37.85996,145.02119,Private room in home,Private room,,90,4.42,Armadale,80,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,30,60,1,4.09,4.82,4.77,4.69,4.48,TRUE
911167,-37.93379,145.2414,Private room in home,Private room,,0,4.9,Rowville,60,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,2,4.98,4.97,4.98,4.72,4.94,TRUE
381690,-37.86226,144.99778,Entire rental unit,Entire home/apt,2,16,4.58,St Kilda East,98,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,6,4,4.3,4.73,4.7,4.63,4.6,TRUE
920179,-37.85131,145.36311,Other,Entire home/apt,1,66,4.88,Olinda,219,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,29,54,2,4.93,4.9,4.88,4.88,4.6,FALSE
394600,-37.76925,144.95275,Entire rental unit,Entire home/apt,1,21,4.81,Brunswick,122,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,6,15,2,4.84,4.91,4.94,4.79,4.8,FALSE
419490,-37.7853,144.9271,Entire rental unit,Entire home/apt,2,0,5,Flemington,150,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,4,3.67,4.67,4.67,4.67,4,TRUE
921611,-37.81583,144.96628,Entire rental unit,Entire home/apt,1,89,4.74,Melbourne,217,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,29,59,4,4.75,4.77,4.85,4.96,4.64,FALSE
438849,-37.82334,145.05813,Entire home,Entire home/apt,3,0,4.25,Camberwell,200,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,0,0,4,4.25,5,4.75,5,4.25,TRUE
926682,-37.81021,144.96405,Entire rental unit,Entire home/apt,1,35,4.84,Melbourne,500,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,5,2,4.65,4.95,4.96,4.94,4.77,FALSE
438899,-37.835,144.96252,Other,Entire home/apt,2,2,4.75,South Melbourne,300,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,2,6,4.6,4.92,4.95,4.91,4.74,TRUE
453940,-37.79318,145.0789,Private room in home,Private room,,0,4.43,Balwyn North,50,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,1,4.14,4.71,4.76,4.52,4.57,FALSE
941483,-37.65658,145.52769,Entire home,Entire home/apt,2,85,4.81,Healesville,271,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2,25,55,6,4.88,4.96,4.9,4.88,4.71,FALSE
954106,-37.79804,145.22272,Other,Entire home/apt,1,45,4.89,Ringwood North,92,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1,0,15,2,4.95,4.96,4.98,4.9,4.94,FALSE
464528,-37.84318,144.94016,Entire rental unit,Entire home/apt,2,79,4.55,Port Melbourne,470,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,2,19,49,5,4.45,4.18,4.18,4.91,4.27,FALSE
464612,-37.90042,144.72496,Private room in home,Private room,,74,4.73,Point Cook,72,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,14,44,4,4.84,4.9,4.87,4.66,4.78,TRUE
964548,-37.83618,144.9738,Entire rental unit,Entire home/apt,2,0,4.35,Melbourne,153,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,6,4.2,4.64,4.61,4.67,4.46,TRUE
964968,-37.84875,145.00185,Private room in rental unit,Private room,,70,4.84,Prahran,70,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,10,40,1,4.87,4.95,4.92,4.9,4.79,FALSE
466494,-37.81788,145.00865,Entire home,Entire home/apt,3,73,4.33,Richmond,701,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,2,13,43,6,4.22,4.75,4.56,4.78,4.33,FALSE
466732,-37.88759,144.98651,Entire rental unit,Entire home/apt,1,46,4.8,Elwood,364,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,11,16,2,4.8,4.8,5,5,4.2,FALSE
966901,-37.80705,145.03611,Entire home,Entire home/apt,1,74,4.89,Kew,174,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,25,53,2,4.98,4.99,4.99,4.92,4.9,TRUE
479281,-37.90925,144.98976,Entire home,Entire home/apt,2,89,4.57,Brighton,410,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2,29,59,4,4.29,5,5,4.86,4.43,FALSE
479333,-37.78773,145.00169,Entire home,Entire home/apt,2,89,4.4,Clifton Hill,476,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1,29,59,4,4.48,4.72,4.46,4.92,4.08,FALSE
479472,-37.95301,145.01149,Other,Entire home/apt,2,0,4.6,Sandringham,433,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,4,4.8,4.78,4.5,5,4.22,TRUE
978562,-37.78374,144.75728,Private room in home,Private room,,70,4.83,Derrimut,50,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,10,40,2,4.85,4.88,4.94,4.68,4.79,TRUE
982577,-37.84213,145.01142,Entire rental unit,Entire home/apt,1,47,4.56,Toorak,77,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,17,2,4.47,4.84,4.84,4.8,4.55,FALSE
479736,-37.87032,144.99627,Entire rental unit,Entire home/apt,2,90,4.68,Balaclava,197,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,30,60,4,4.54,4.8,4.82,4.84,4.57,TRUE
483719,-37.74209,145.06541,Other,Private room,,22,4.77,Rosanna,80,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,22,22,2,4.64,4.85,4.88,4.73,4.72,FALSE
484148,-37.89963,144.72637,Private room in home,Private room,,81,4.79,Point Cook,72,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,30,51,2,5,4.96,4.92,4.72,4.84,TRUE
984021,-37.8136,144.98676,Entire rental unit,Entire home/apt,1,0,4.67,East Melbourne,125,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,2,4.71,4.93,5,4.88,4.64,TRUE
492022,-37.94771,145.00322,Other,Entire home/apt,3,48,4.56,Sandringham,467,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,24,48,7,4.39,4.72,4.72,4.89,4,TRUE
985656,-37.86699,145.02729,Private room in home,Private room,,35,4.67,Caulfield North,61,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,1,5,2,4.13,4.87,5,4.83,4.65,FALSE
492071,-37.94771,145.00322,Other,Entire home/apt,3,45,4.31,Sandringham,522,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,2,21,45,6,4.38,4.83,4.46,4.85,3.92,TRUE
986403,-37.85683,144.96707,Private room in rental unit,Private room,,85,4.94,St Kilda West,124,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,25,55,2,4.96,4.96,4.98,4.97,4.9,TRUE
506491,-37.8433,145.13555,Other,Private room,,33,4.91,Blackburn South,90,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,8,2,4.94,4.93,4.97,4.73,4.9,TRUE
990795,-37.8017,144.96707,Other,Private room,,88,4.91,Carlton,145,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,28,58,2,4.82,4.94,4.91,4.91,4.65,TRUE
508586,-37.79349,145.0808,Private room in home,Private room,,35,4.44,Balwyn North,60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,5,1,4.28,4.72,4.72,4.56,4.32,FALSE
508590,-37.7937,145.07935,Private room in home,Private room,,4,4.63,Balwyn North,40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,4.38,4.94,5,4.56,4.69,FALSE
508594,-37.79352,145.0794,Private room in home,Private room,,35,4.36,Balwyn North,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,5,1,4,4.79,4.64,4.57,4.57,FALSE
509326,-37.68273,145.02837,Private room in home,Private room,,90,,Thomastown,114,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,30,60,1,,,,,,FALSE
999067,-37.8203,144.99016,Other,Entire home/apt,1,72,4.88,Richmond,132,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1,20,46,2,4.97,4.94,4.93,4.93,4.82,FALSE
529347,-37.87686,144.97723,Other,Entire home/apt,1,57,4.77,Elwood,184,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,27,4,4.76,4.86,4.82,4.91,4.81,TRUE
999305,-37.91952,145.13111,Other,Private room,,4,5,Clayton,65,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,1,4.83,4.83,5,4.67,4.5,TRUE
534083,-37.8571,144.98719,Entire rental unit,Entire home/apt,2,81,4.59,St Kilda,220,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,22,51,3,4.83,4.86,4.88,4.7,4.68,TRUE
1001738,-37.86811,144.98132,Entire rental unit,Entire home/apt,1,0,4.64,St Kilda,120,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,2,4.61,4.74,4.7,4.85,4.65,TRUE
550716,-37.81111,144.98176,Entire condo,Entire home/apt,2,0,,East Melbourne,400,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,2,0,0,4,,,,,,TRUE
1002094,-37.81011,144.97036,Entire rental unit,Entire home/apt,1,78,4.86,Melbourne,210,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,18,48,2,4.86,4.94,4.94,4.96,4.86,FALSE
552797,-37.8047,144.97959,Entire rental unit,Entire home/apt,1,0,4.9,Fitzroy,99,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,2,4.96,4.95,5,5,4.86,TRUE
1012462,-37.81676,144.96296,Entire rental unit,Entire home/apt,3,0,4.89,Melbourne,225,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,5,4.75,4.88,4.75,5,4.88,TRUE
554087,-37.85821,144.97428,Private room in home,Private room,,0,4.96,St Kilda West,300,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,0,2,4.96,5,5,5,4.96,FALSE
1054730,-37.91590601,145.0029953,Private room in home,Private room,,87,5,Brighton,95,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,27,57,1,4.75,5,5,5,5,FALSE
557900,-37.81745,144.96457,Entire rental unit,Entire home/apt,1,37,4.93,Melbourne,244,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,5,17,2,4.97,4.96,4.98,4.95,4.83,FALSE
567486,-37.83481,145.03514,Private room in home,Private room,,83,5,Hawthorn,125,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,23,53,1,5,4.93,4.93,5,4.93,FALSE
1057401,-37.99592,145.0959,Entire rental unit,Entire home/apt,1,50,4.79,Mordialloc,85,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,18,21,2,4.97,4.96,5,4.84,4.75,FALSE
